group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fib20fast,,,,,1072652.0,ns,204590
fib20fast,,,,,1912359.0,ns,409180
fib20fast,,,,,3003430.0,ns,613770
fib20fast,,,,,3849059.0,ns,818360
fib20fast,,,,,4891183.0,ns,1022950
fib20fast,,,,,5752184.0,ns,1227540
fib20fast,,,,,6779186.0,ns,1432130
fib20fast,,,,,7792205.0,ns,1636720
fib20fast,,,,,8699211.0,ns,1841310
fib20fast,,,,,9692711.0,ns,2045900
fib20fast,,,,,12124748.0,ns,2250490
fib20fast,,,,,11737637.0,ns,2455080
fib20fast,,,,,12431268.0,ns,2659670
fib20fast,,,,,13685071.0,ns,2864260
fib20fast,,,,,14554727.0,ns,3068850
fib20fast,,,,,15409409.0,ns,3273440
fib20fast,,,,,16469457.0,ns,3478030
fib20fast,,,,,17484108.0,ns,3682620
fib20fast,,,,,18307228.0,ns,3887210
fib20fast,,,,,19009569.0,ns,4091800
fib20fast,,,,,20045709.0,ns,4296390
fib20fast,,,,,21082683.0,ns,4500980
fib20fast,,,,,22695460.0,ns,4705570
fib20fast,,,,,23335725.0,ns,4910160
fib20fast,,,,,25511453.0,ns,5114750
fib20fast,,,,,26082615.0,ns,5319340
fib20fast,,,,,26404315.0,ns,5523930
fib20fast,,,,,26714987.0,ns,5728520
fib20fast,,,,,28153539.0,ns,5933110
fib20fast,,,,,29165678.0,ns,6137700
fib20fast,,,,,30188534.0,ns,6342290
fib20fast,,,,,30754501.0,ns,6546880
fib20fast,,,,,31857676.0,ns,6751470
fib20fast,,,,,32852500.0,ns,6956060
fib20fast,,,,,33871271.0,ns,7160650
fib20fast,,,,,34334262.0,ns,7365240
fib20fast,,,,,35757184.0,ns,7569830
fib20fast,,,,,36728627.0,ns,7774420
fib20fast,,,,,37975985.0,ns,7979010
fib20fast,,,,,39080477.0,ns,8183600
fib20fast,,,,,40964428.0,ns,8388190
fib20fast,,,,,40951455.0,ns,8592780
fib20fast,,,,,41741826.0,ns,8797370
fib20fast,,,,,42265233.0,ns,9001960
fib20fast,,,,,43238434.0,ns,9206550
fib20fast,,,,,44698595.0,ns,9411140
fib20fast,,,,,47605868.0,ns,9615730
fib20fast,,,,,47442906.0,ns,9820320
fib20fast,,,,,49304301.0,ns,10024910
fib20fast,,,,,48771757.0,ns,10229500
fib20fast,,,,,49567172.0,ns,10434090
fib20fast,,,,,51941314.0,ns,10638680
fib20fast,,,,,51860082.0,ns,10843270
fib20fast,,,,,52947450.0,ns,11047860
fib20fast,,,,,53163282.0,ns,11252450
fib20fast,,,,,53645557.0,ns,11457040
fib20fast,,,,,54616075.0,ns,11661630
fib20fast,,,,,55729416.0,ns,11866220
fib20fast,,,,,56923338.0,ns,12070810
fib20fast,,,,,58817907.0,ns,12275400
fib20fast,,,,,61040876.0,ns,12479990
fib20fast,,,,,59820959.0,ns,12684580
fib20fast,,,,,60870785.0,ns,12889170
fib20fast,,,,,61696713.0,ns,13093760
fib20fast,,,,,64640633.0,ns,13298350
fib20fast,,,,,63826566.0,ns,13502940
fib20fast,,,,,64963287.0,ns,13707530
fib20fast,,,,,65425175.0,ns,13912120
fib20fast,,,,,68002945.0,ns,14116710
fib20fast,,,,,67474048.0,ns,14321300
fib20fast,,,,,69125561.0,ns,14525890
fib20fast,,,,,69754834.0,ns,14730480
fib20fast,,,,,70578632.0,ns,14935070
fib20fast,,,,,71155232.0,ns,15139660
fib20fast,,,,,73199848.0,ns,15344250
fib20fast,,,,,74287842.0,ns,15548840
fib20fast,,,,,74480969.0,ns,15753430
fib20fast,,,,,74885010.0,ns,15958020
fib20fast,,,,,78232830.0,ns,16162610
fib20fast,,,,,76851350.0,ns,16367200
fib20fast,,,,,77108952.0,ns,16571790
fib20fast,,,,,81389322.0,ns,16776380
fib20fast,,,,,81765855.0,ns,16980970
fib20fast,,,,,81585703.0,ns,17185560
fib20fast,,,,,81624891.0,ns,17390150
fib20fast,,,,,82210700.0,ns,17594740
fib20fast,,,,,83877817.0,ns,17799330
fib20fast,,,,,85933083.0,ns,18003920
fib20fast,,,,,85703488.0,ns,18208510
fib20fast,,,,,86607026.0,ns,18413100
fib20fast,,,,,90111216.0,ns,18617690
fib20fast,,,,,89034591.0,ns,18822280
fib20fast,,,,,90649579.0,ns,19026870
fib20fast,,,,,92966536.0,ns,19231460
fib20fast,,,,,91846418.0,ns,19436050
fib20fast,,,,,94665676.0,ns,19640640
fib20fast,,,,,101806672.0,ns,19845230
fib20fast,,,,,95448882.0,ns,20049820
fib20fast,,,,,97169670.0,ns,20254410
fib20fast,,,,,96702255.0,ns,20459000
